circuit_id,qubit_count,gate_count,circuit_depth,t1_coherence_us,t2_coherence_us,gate_fidelity,readout_fidelity,cx_error_rate,single_qubit_error_rate,temperature_mk,crosstalk_coefficient,shot_count,idle_time_us,compiler_optimization_level,error_type
QC_0001,2,194,11,22.24,7.41,0.8882,0.9167,0.0318,0.0051,15.32,0.0594,8192,11.71,0,depolarizing
QC_0002,8,188,72,109.37,82.18,0.9783,0.9947,0.0023,0.0002,7.96,0.0063,2048,10.84,0,no_error
QC_0003,14,29,94,52.37,33.6,0.9446,0.9157,0.0314,0.0078,18.79,0.1052,8192,41.49,2,depolarizing
QC_0004,8,185,11,83.21,65.29,0.9787,0.9632,0.0008,0.0001,6.95,0.0131,2048,18.31,2,no_error
QC_0005,10,184,90,21.2,14.09,0.912,0.931,0.0091,0.0022,19.9,0.0584,2048,27.89,0,amplitude_damping
QC_0006,3,85,15,11.69,4.83,0.966,0.9413,0.0129,0.0034,13.96,0.0749,2048,23.0,1,amplitude_damping
QC_0007,19,142,70,23.68,11.86,0.9408,0.9053,0.0299,0.0011,14.94,0.0653,1024,43.07,1,amplitude_damping
QC_0008,4,103,27,65.75,41.41,0.8701,0.8553,0.0671,0.0091,19.37,0.0542,2048,37.57,0,bit_flip
QC_0009,15,45,119,40.19,19.44,0.9704,0.968,0.0157,0.0016,8.74,0.155,8192,42.1,1,phase_flip
QC_0010,13,200,44,18.48,15.05,0.9371,0.88,0.0131,0.0006,19.29,0.0727,2048,41.6,1,amplitude_damping
QC_0011,9,150,13,14.28,9.51,0.8855,0.9185,0.0406,0.0019,19.75,0.105,8192,13.33,3,depolarizing
QC_0012,19,198,189,22.25,16.72,0.9279,0.927,0.0143,0.0045,14.51,0.0349,512,3.29,1,amplitude_damping
QC_0013,9,6,12,129.55,64.09,0.972,0.9613,0.0011,0.0005,6.95,0.0102,8192,27.01,3,no_error
QC_0014,17,109,51,7.36,5.87,0.9248,0.9088,0.0266,0.0007,16.53,0.0588,2048,3.12,0,amplitude_damping
QC_0015,8,53,71,16.22,8.58,0.9195,0.8975,0.0281,0.0025,18.61,0.053,8192,2.62,0,amplitude_damping
QC_0016,9,47,55,34.28,11.26,0.9121,0.8553,0.0252,0.0079,17.65,0.1284,4096,22.8,3,depolarizing
QC_0017,8,80,30,29.22,18.19,0.938,0.9324,0.0064,0.0031,15.03,0.0712,8192,7.96,0,amplitude_damping
QC_0018,4,157,7,21.88,7.44,0.9084,0.9423,0.0112,0.0032,16.19,0.0452,8192,29.23,2,amplitude_damping
QC_0019,8,176,43,54.32,12.92,0.967,0.921,0.0077,0.0023,8.51,0.135,512,49.92,0,phase_flip
QC_0020,8,134,36,89.27,70.22,0.9721,0.9697,0.0009,0.0005,8.8,0.0067,8192,49.19,0,no_error
QC_0021,11,174,16,145.73,71.51,0.9735,0.9643,0.0017,0.0003,9.23,0.0146,2048,10.26,3,no_error
QC_0022,3,28,23,65.41,10.53,0.9202,0.954,0.0135,0.0009,13.19,0.1462,512,21.44,0,phase_flip
QC_0023,6,144,5,51.73,32.22,0.8918,0.8615,0.0223,0.0073,22.96,0.1361,1024,44.96,1,depolarizing
QC_0024,13,148,107,58.69,45.24,0.9541,0.8713,0.0165,0.0066,16.77,0.0912,2048,9.05,3,depolarizing
QC_0025,10,45,92,7.7,7.1,0.9601,0.8956,0.0254,0.0026,13.05,0.0677,512,11.46,1,amplitude_damping
QC_0026,12,76,113,34.17,30.96,0.8781,0.8509,0.054,0.0106,21.97,0.0114,2048,43.86,1,bit_flip
QC_0027,10,14,16,121.76,81.35,0.9935,0.9774,0.003,0.0002,11.3,0.0046,4096,2.31,0,no_error
QC_0028,19,180,187,145.82,123.25,0.9759,0.9772,0.0029,0.0009,9.36,0.0136,2048,6.32,2,no_error
QC_0029,12,108,92,47.74,23.53,0.8836,0.894,0.0539,0.0111,25.39,0.025,512,27.44,2,bit_flip
QC_0030,8,115,77,76.4,11.44,0.9509,0.9473,0.0112,0.0024,14.72,0.1683,2048,32.98,2,phase_flip
QC_0031,9,177,42,21.23,8.23,0.882,0.872,0.029,0.0069,15.73,0.0914,1024,31.53,3,depolarizing
QC_0032,14,67,40,69.36,20.27,0.9101,0.877,0.0253,0.0068,20.11,0.0579,512,25.95,1,bit_flip
QC_0033,16,39,121,43.38,42.92,0.9276,0.9355,0.0457,0.0053,22.19,0.1005,8192,41.55,3,depolarizing
QC_0034,17,120,69,23.79,20.46,0.9194,0.9344,0.0171,0.0016,14.4,0.0628,2048,11.8,2,amplitude_damping
QC_0035,4,40,12,96.19,85.11,0.9911,0.9626,0.0013,0.0006,7.91,0.0049,8192,21.07,0,no_error
QC_0036,14,127,4,145.99,85.68,0.9817,0.9956,0.0025,0.0006,10.14,0.0162,4096,44.9,1,no_error
QC_0037,15,129,10,63.33,18.38,0.9759,0.9507,0.0171,0.0028,14.87,0.1441,8192,45.36,0,phase_flip
QC_0038,15,39,121,19.09,8.67,0.9062,0.8909,0.0235,0.0072,17.78,0.1451,512,21.14,3,depolarizing
QC_0039,19,18,92,21.21,6.11,0.9566,0.8536,0.0112,0.0027,23.39,0.1121,4096,12.0,0,depolarizing
QC_0040,8,124,35,133.68,72.36,0.9882,0.9898,0.0004,0.0008,11.75,0.0031,2048,1.38,3,no_error
QC_0041,8,24,78,71.44,52.27,0.8582,0.8772,0.0625,0.0084,19.45,0.0592,2048,39.15,3,bit_flip
QC_0042,4,134,24,40.76,13.4,0.9543,0.9303,0.0085,0.0027,11.22,0.0984,8192,8.89,2,phase_flip
QC_0043,19,128,122,110.49,96.91,0.978,0.994,0.0025,0.0001,11.17,0.0056,8192,23.29,3,no_error
QC_0044,2,131,13,50.91,9.24,0.9758,0.9238,0.0178,0.0022,9.93,0.0812,512,47.41,1,phase_flip
QC_0045,17,147,64,71.44,53.23,0.8893,0.8793,0.0247,0.005,26.3,0.0253,4096,29.12,2,bit_flip
QC_0046,19,89,93,72.17,34.13,0.8701,0.8121,0.0296,0.0041,24.43,0.0481,1024,9.34,3,bit_flip
QC_0047,20,199,137,75.81,24.61,0.9783,0.9207,0.0085,0.001,12.96,0.0952,512,2.37,2,phase_flip
QC_0048,17,31,6,19.35,10.67,0.9308,0.8929,0.0063,0.0047,14.78,0.0693,512,20.1,0,amplitude_damping
QC_0049,6,149,22,7.13,4.03,0.9391,0.9091,0.0199,0.0033,17.76,0.0428,2048,45.43,3,amplitude_damping
QC_0050,20,163,18,76.58,19.8,0.9863,0.9145,0.0058,0.002,9.1,0.1009,512,3.85,3,phase_flip
QC_0051,17,79,11,43.89,36.89,0.9062,0.8454,0.0544,0.0113,27.45,0.0413,1024,33.09,3,bit_flip
QC_0052,19,62,168,17.45,8.31,0.8914,0.8554,0.0417,0.0052,23.24,0.1421,4096,22.01,2,depolarizing
QC_0053,10,133,72,59.63,23.19,0.8532,0.8432,0.0361,0.0053,19.1,0.0581,8192,41.81,0,bit_flip
QC_0054,20,15,198,85.38,14.41,0.9656,0.9641,0.0053,0.0018,12.44,0.139,2048,4.65,3,phase_flip
QC_0055,12,176,16,91.46,11.6,0.9686,0.9202,0.019,0.0025,11.85,0.1346,2048,15.79,0,phase_flip
QC_0056,18,5,171,82.16,48.72,0.8543,0.8518,0.0511,0.0075,23.3,0.0126,1024,13.43,2,bit_flip
QC_0057,17,36,10,88.39,61.64,0.8691,0.8158,0.0475,0.008,19.12,0.0596,4096,45.66,0,bit_flip
QC_0058,17,188,77,17.72,7.02,0.9584,0.9486,0.0111,0.003,13.84,0.0753,1024,25.46,0,amplitude_damping
QC_0059,15,92,132,56.03,5.05,0.9708,0.9586,0.0124,0.002,14.06,0.1336,2048,24.27,3,phase_flip
QC_0060,12,53,92,44.33,29.32,0.9185,0.8411,0.0359,0.0073,28.96,0.0291,1024,49.42,3,bit_flip
QC_0061,6,133,40,26.6,7.17,0.9476,0.859,0.0464,0.0011,16.44,0.1371,512,48.5,3,depolarizing
